Date,Open,High,Low,Close*,Adj Close**,Volume
2022-10-10,15.57,15.76,14.79,15.14,15.14,826800
2022-10-07,16.13,16.13,14.98,15.51,15.51,1299500
2022-10-06,16.72,17.43,16.26,16.32,16.32,992800
2022-10-05,17.75,17.75,16.13,16.91,16.91,1731400
2022-10-04,18.08,18.47,17.73,17.98,17.98,1009400
2022-10-03,18.00,18.00,17.21,17.54,17.54,868100
2022-09-30,18.09,18.80,17.67,17.72,17.72,715100
2022-09-29,19.06,19.06,17.69,18.28,18.28,924900
2022-09-28,18.31,19.60,18.00,19.36,19.36,783200
2022-09-27,17.86,18.52,17.63,18.21,18.21,845800
2022-09-26,17.76,18.67,17.40,17.55,17.55,804800
2022-09-23,17.92,18.43,17.70,18.01,18.01,771300
2022-09-22,19.96,20.04,17.89,18.63,18.63,1403300
2022-09-21,20.22,20.96,19.79,19.96,19.96,837300
2022-09-20,21.45,21.80,19.92,20.20,20.20,927100
2022-09-19,21.79,22.35,21.55,21.80,21.80,850100
2022-09-16,22.41,22.50,21.02,22.05,22.05,2202200
2022-09-15,22.81,24.23,22.49,23.23,23.23,2008600
2022-09-14,21.68,22.64,20.95,22.64,22.64,1032100
2022-09-13,21.40,22.33,21.12,21.53,21.53,819500
2022-09-12,21.84,22.65,21.37,22.64,22.64,769500
2022-09-09,21.77,22.20,21.45,21.83,21.83,962200
2022-09-08,19.90,21.45,19.77,21.40,21.40,673500
2022-09-07,19.35,20.71,19.31,20.34,20.34,674700
2022-09-06,19.50,19.68,19.01,19.42,19.42,686700
2022-09-02,20.28,20.47,19.41,19.55,19.55,556000
2022-09-01,20.88,21.08,19.58,20.14,20.14,845000
2022-08-31,21.16,21.90,20.79,21.37,21.37,758000
2022-08-30,21.38,22.00,20.65,21.02,21.02,582800
2022-08-29,20.91,21.83,20.85,20.88,20.88,503300
2022-08-26,22.52,22.73,21.04,21.38,21.38,664700
2022-08-25,22.89,23.54,22.29,22.42,22.42,1103800
2022-08-24,21.36,23.04,21.36,22.62,22.62,797200
2022-08-23,21.52,21.83,20.95,21.36,21.36,542200
2022-08-22,22.07,22.44,20.94,21.16,21.16,953700
2022-08-19,24.00,24.25,22.67,22.79,22.79,901300
2022-08-18,25.04,25.35,24.58,24.79,24.79,395200
2022-08-17,25.50,25.83,24.45,24.98,24.98,782500
2022-08-16,26.00,26.40,24.55,26.02,26.02,1062500
2022-08-15,26.50,26.95,25.40,26.09,26.09,1252900
2022-08-12,24.68,26.85,24.45,26.75,26.75,2247200
2022-08-11,23.72,25.30,23.26,24.60,24.60,2581800
2022-08-10,22.73,23.55,22.02,23.11,23.11,1466200
2022-08-09,22.18,23.11,21.40,21.44,21.44,1615400
2022-08-08,23.88,24.48,23.43,24.06,24.06,1579100
2022-08-05,22.75,23.15,22.10,23.03,23.03,822600
2022-08-04,22.43,22.67,22.02,22.50,22.50,515100
2022-08-03,22.34,22.64,21.91,22.07,22.07,917100
2022-08-02,20.99,22.49,20.81,22.01,22.01,744100
2022-08-01,21.04,22.08,20.78,21.53,21.53,1073500
2022-07-29,20.46,21.35,19.95,21.17,21.17,1251600
2022-07-28,18.83,21.66,18.82,21.28,21.28,3443500
2022-07-27,17.84,18.33,17.40,18.07,18.07,629300
2022-07-26,18.15,18.23,17.16,17.33,17.33,588200
2022-07-25,18.65,18.81,17.87,18.72,18.72,618300
2022-07-22,20.23,20.27,18.70,18.82,18.82,1148900
2022-07-21,18.58,20.44,18.50,20.34,20.34,1377200
2022-07-20,17.72,19.12,17.72,18.50,18.50,852600
2022-07-19,17.40,18.05,17.25,17.83,17.83,543900
2022-07-18,17.33,18.11,17.12,17.23,17.23,596700
2022-07-15,17.74,17.79,16.62,16.98,16.98,579900
2022-07-14,17.36,17.64,16.76,17.59,17.59,544100
2022-07-13,16.88,17.74,16.83,17.57,17.57,474000
2022-07-12,17.03,17.70,16.60,17.33,17.33,461100
2022-07-11,18.06,18.21,16.90,16.91,16.91,459300
2022-07-08,17.83,18.95,17.66,18.27,18.27,612200
2022-07-07,16.42,18.47,16.42,18.28,18.28,911200
2022-07-06,16.75,17.26,16.35,16.38,16.38,569800
