Date,Open,High,Low,Close*,Adj Close**,Volume
2022-09-16,25.05,25.05,23.70,24.09,24.09,12031200
2022-09-15,26.07,26.76,25.68,25.81,25.81,5210000
2022-09-14,26.85,27.03,25.90,26.67,26.67,8536100
2022-09-13,25.44,28.07,25.25,26.80,26.80,17044600
2022-09-12,26.72,26.80,25.25,26.06,26.06,9696300
2022-09-09,26.76,27.23,26.23,26.33,26.33,7966300
2022-09-08,26.06,26.57,25.36,26.03,26.03,7942400
2022-09-07,26.31,27.13,26.16,26.66,26.66,5818300
2022-09-06,26.48,27.08,26.00,26.44,26.44,7401100
2022-09-02,27.31,27.36,26.26,26.58,26.58,9115100
2022-09-01,27.68,28.38,27.19,27.90,27.90,10380600
2022-08-31,29.26,29.57,28.39,28.77,28.77,6819700
2022-08-30,29.25,29.39,28.23,28.80,28.80,6311700
2022-08-29,30.00,30.55,29.06,29.11,29.11,5205400
2022-08-26,31.84,32.15,30.21,30.30,30.30,7572100
2022-08-25,30.76,31.64,29.92,31.07,31.07,8934700
2022-08-24,28.78,30.09,28.37,29.70,29.70,4824500
2022-08-23,30.36,30.36,28.85,29.36,29.36,8124800
2022-08-22,30.00,31.53,29.83,30.85,30.85,8401800
2022-08-19,30.80,30.80,29.71,29.94,29.94,5593700
2022-08-18,30.51,31.06,30.10,30.84,30.84,5272800
2022-08-17,31.20,31.66,30.75,30.91,30.91,5617900
2022-08-16,31.83,31.87,30.51,31.09,31.09,8327900
2022-08-15,30.83,33.86,29.91,32.56,32.56,16365300
2022-08-12,31.47,32.60,31.23,32.49,32.49,6376400
2022-08-11,32.09,33.45,31.72,32.71,32.71,9750900
2022-08-10,31.58,31.66,30.42,31.52,31.52,6548800
2022-08-09,32.17,32.45,30.24,30.87,30.87,13990800
2022-08-08,34.11,34.14,32.94,33.20,33.20,6218800
2022-08-05,33.70,33.95,32.58,33.63,33.63,4959600
2022-08-04,34.23,35.17,34.02,34.32,34.32,5063200
2022-08-03,34.19,34.19,32.48,33.98,33.98,8528800
2022-08-02,33.36,35.76,32.91,34.12,34.12,11491600
2022-08-01,33.70,35.98,33.06,34.10,34.10,17492100
2022-07-29,31.94,32.98,31.67,32.84,32.84,8333000
2022-07-28,33.26,33.55,32.04,32.93,32.93,8253100
2022-07-27,33.56,33.71,32.66,33.68,33.68,8279900
2022-07-26,34.70,35.43,33.26,33.55,33.55,8325000
2022-07-25,33.80,34.65,33.50,34.60,34.60,6761600
2022-07-22,36.02,36.07,33.78,34.36,34.36,13479100
2022-07-21,35.35,36.86,35.16,36.58,36.58,7551100
2022-07-20,36.21,37.35,35.51,35.88,35.88,15037300
2022-07-19,39.16,39.30,35.66,37.31,37.31,22809000
2022-07-18,38.86,40.88,37.53,39.16,39.16,17600300
2022-07-15,38.13,38.57,37.13,38.45,38.45,8348600
2022-07-14,38.28,38.85,37.55,38.18,38.18,9462100
2022-07-13,36.29,38.54,36.20,38.03,38.03,9651300
2022-07-12,36.59,37.68,36.31,36.99,36.99,8661100
2022-07-11,37.63,38.02,36.83,37.33,37.33,9218500
2022-07-08,38.72,39.55,37.96,38.90,38.90,9818500
2022-07-07,39.20,40.70,38.60,39.28,39.28,19519100
2022-07-06,39.31,39.70,37.10,38.60,38.60,10731100
