Date,Open,High,Low,Close*,Adj Close**,Volume
2022-09-02,15.61,15.65,14.32,14.50,14.50,12540800
2022-09-01,15.95,16.50,14.52,15.31,15.31,16446600
2022-08-31,15.02,16.94,15.02,16.27,16.27,28151200
2022-08-30,15.39,15.68,14.31,14.49,14.49,13052000
2022-08-29,14.93,15.52,14.84,15.04,15.04,5247500
2022-08-26,15.84,16.02,14.97,15.28,15.28,7045100
2022-08-25,15.59,15.74,15.01,15.69,15.69,7041000
2022-08-24,14.37,15.77,14.30,15.19,15.19,10943600
2022-08-23,14.31,14.64,14.04,14.20,14.20,6933500
2022-08-22,14.54,14.65,14.06,14.12,14.12,6321600
2022-08-19,16.05,16.07,14.87,15.03,15.03,9605200
2022-08-18,17.03,17.21,16.48,16.54,16.54,6206700
2022-08-17,17.69,17.94,16.86,16.88,16.88,7834900
2022-08-16,18.56,18.79,17.83,18.10,18.10,8143700
2022-08-15,18.71,19.27,18.02,18.63,18.63,9719000
2022-08-12,16.97,19.11,16.63,18.87,18.87,21314700
2022-08-11,16.67,17.12,16.02,16.69,16.69,14909000
2022-08-10,16.47,16.64,15.87,16.44,16.44,7543900
2022-08-09,15.65,15.93,15.32,15.73,15.73,5890400
2022-08-08,16.85,17.26,15.97,16.00,16.00,12495100
2022-08-05,15.70,16.19,15.42,16.06,16.06,6885500
2022-08-04,16.00,16.19,15.56,15.88,15.88,5662500
2022-08-03,15.56,15.99,15.26,15.96,15.96,6944100
2022-08-02,14.28,15.44,14.16,15.41,15.41,7547900
2022-08-01,15.10,15.10,14.47,14.74,14.74,7011900
2022-07-29,14.98,15.54,14.81,15.11,15.11,11657200
2022-07-28,14.53,15.74,14.39,15.30,15.30,19060700
2022-07-27,13.20,13.25,12.69,13.14,13.14,5693200
2022-07-26,13.17,13.20,12.66,12.75,12.75,4588700
2022-07-25,13.82,13.82,13.22,13.32,13.32,4376700
2022-07-22,14.70,14.84,13.74,13.85,13.85,7587000
2022-07-21,14.20,14.94,14.13,14.74,14.74,9469600
2022-07-20,12.74,14.35,12.66,14.33,14.33,13347800
2022-07-19,12.51,12.84,12.33,12.64,12.64,5912600
2022-07-18,12.00,12.88,11.89,12.43,12.43,10581100
2022-07-15,11.50,11.59,10.97,11.57,11.57,8427900
2022-07-14,11.52,11.69,11.12,11.34,11.34,8838400
2022-07-13,11.53,12.09,11.29,11.93,11.93,9897300
2022-07-12,12.09,12.20,11.63,11.97,11.97,7585000
2022-07-11,13.25,13.27,11.93,11.94,11.94,11508000
2022-07-08,13.38,14.21,13.26,13.38,13.38,13049800
2022-07-07,12.54,14.09,12.51,13.75,13.75,11617200
2022-07-06,12.74,13.23,12.27,12.45,12.45,8406800
